Title,URL
Donlen Driver,https://www.donlendriver.com/donlen/WebControlServlet?waid=04dDl
Concur,https://www.gloryglobalsolutions.com/concur
One Time Password,https://gloryglobal.sharepoint.com/sites/OTP
OSI Form (Smartsheet),https://app.smartsheet.com/b/form/973eb926bc954fe690b1012e9b1e3d96
Paylocity,https://www.paylocity.com/
Glory Academy,https://academy.gloryglobalsolutions.com/
Submit Logs,https://gloryglobal.sharepoint.com/sites/Service-NA/_layouts/Upload.aspx?List=%7b82CA3521-D727-449E-804C-F774A2A11882%7d
IT Support,http://connect.gloryglobalsolutions.com/myGlory/FunctionalTools/IS/Pages/Support.aspx?RegSource=IT+Support
My Glory Resource,https://gloryglobal.sharepoint.com/sites/MyGloryResource
SIA,https://gloryglobal.sharepoint.com/sites/RGN-NAM-Products
My Apps,https://myapps.microsoft.com/
QuickBase,https://glory-global.quickbase.com/
Vimeo,https://vimeo.com/user/113641088/folder/24497581
Arena,https://app.bom.com
REACH,https://reach.rrs360.com/
Help Lightning,https://helplightning.net/users/sign_in
Ring Central,https://login.ringcentral.com/
